Time,Well 101,Well 102,Well 103,Well 104,Well 105,Well 106,Well 107,Well 108,Well 109,Well 110
00:00:04,0.068,0.068,0.069,0.071,0.071,0.072,0.074,0.073,0.075,0.075
00:15:05,0.069,0.070,0.072,0.072,0.071,0.071,0.075,0.081,0.086,0.086
00:30:05,0.069,0.073,0.074,0.073,0.072,0.071,0.069,0.068,0.072,0.075
00:45:06,0.070,0.073,0.075,0.074,0.074,0.072,0.074,0.072,0.075,0.076
01:00:07,0.070,0.073,0.076,0.075,0.074,0.072,0.074,0.072,0.075,0.076
01:15:06,0.072,0.076,0.079,0.076,0.078,0.077,0.080,0.078,0.077,0.081
01:30:06,0.070,0.073,0.076,0.075,0.074,0.072,0.075,0.073,0.076,0.077
01:45:06,0.071,0.073,0.077,0.076,0.075,0.073,0.076,0.074,0.077,0.078
02:00:06,0.071,0.074,0.076,0.076,0.075,0.073,0.077,0.067,0.069,0.070
02:15:07,0.070,0.073,0.076,0.075,0.074,0.072,0.075,0.072,0.076,0.076
02:30:07,0.070,0.073,0.077,0.076,0.076,0.073,0.076,0.073,0.075,0.076
02:45:07,0.071,0.074,0.077,0.077,0.076,0.073,0.076,0.073,0.076,0.077
03:00:07,0.072,0.076,0.080,0.081,0.075,0.074,0.081,0.079,0.082,0.084
03:15:07,0.069,0.074,0.077,0.078,0.077,0.073,0.077,0.074,0.078,0.079
03:30:08,0.070,0.074,0.078,0.077,0.077,0.073,0.076,0.074,0.076,0.077
03:45:08,0.071,0.074,0.078,0.078,0.077,0.073,0.077,0.074,0.077,0.078
04:00:09,0.070,0.074,0.080,0.077,0.076,0.072,0.076,0.072,0.076,0.077
04:15:09,0.071,0.076,0.081,0.081,0.078,0.071,0.072,0.072,0.081,0.083
04:30:09,0.071,0.075,0.078,0.079,0.079,0.073,0.077,0.074,0.078,0.078
04:45:08,0.071,0.076,0.080,0.080,0.079,0.074,0.079,0.074,0.079,0.080
05:00:09,0.071,0.076,0.079,0.079,0.079,0.074,0.079,0.074,0.078,0.080
05:15:10,0.071,0.076,0.079,0.080,0.080,0.074,0.078,0.074,0.078,0.080
05:30:10,0.071,0.076,0.080,0.081,0.081,0.074,0.080,0.076,0.079,0.081
05:45:10,0.074,0.080,0.083,0.084,0.083,0.078,0.081,0.078,0.082,0.085
06:00:07,0.071,0.078,0.079,0.082,0.080,0.075,0.080,0.077,0.075,0.080
06:15:07,0.074,0.075,0.082,0.082,0.087,0.076,0.080,0.075,0.079,0.083
06:30:06,0.075,0.083,0.084,0.085,0.088,0.080,0.083,0.078,0.088,0.087
06:45:05,0.076,0.083,0.085,0.089,0.088,0.079,0.086,0.080,0.082,0.088
07:00:06,0.067,0.074,0.081,0.082,0.084,0.074,0.075,0.063,0.069,0.079
07:15:06,0.075,0.084,0.091,0.097,0.093,0.081,0.086,0.086,0.088,0.094
07:30:06,0.068,0.081,0.084,0.089,0.084,0.075,0.084,0.074,0.083,0.085
07:45:05,0.075,0.078,0.088,0.094,0.091,0.081,0.089,0.076,0.064,0.066
08:00:06,0.075,0.068,0.084,0.082,0.087,0.076,0.086,0.062,0.066,0.074
08:15:06,0.073,0.082,0.092,0.093,0.097,0.086,0.084,0.081,0.091,0.100
08:30:06,0.074,0.085,0.093,0.091,0.068,0.051,0.062,0.056,0.062,0.068
08:45:06,0.076,0.090,0.096,0.104,0.107,0.095,0.109,0.096,0.095,0.102
09:00:07,0.070,0.087,0.094,0.101,0.101,0.085,0.098,0.095,0.104,0.117
09:15:07,0.046,0.061,0.066,0.071,0.070,0.052,0.063,0.058,0.065,0.073
09:30:07,0.072,0.088,0.094,0.100,0.099,0.077,0.090,0.086,0.092,0.099
09:45:06,0.073,0.090,0.088,0.100,0.095,0.069,0.086,0.089,0.094,0.092
10:00:06,0.073,0.092,0.095,0.083,0.082,0.055,0.069,0.067,0.073,0.080
10:15:06,0.071,0.092,0.097,0.107,0.106,0.076,0.091,0.087,0.094,0.102
10:30:06,0.069,0.092,0.097,0.110,0.110,0.075,0.091,0.090,0.096,0.109
10:45:07,0.069,0.092,0.100,0.115,0.117,0.078,0.095,0.093,0.102,0.109
11:00:06,0.071,0.096,0.103,0.119,0.122,0.075,0.097,0.096,0.105,0.112
11:15:06,0.073,0.099,0.108,0.129,0.125,0.076,0.100,0.098,0.115,0.124
